Piece,From Row,From Col,To Row,To Col,Epoch
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
0,black_rook,0,0,0,0,1
